Occupation Field,Skill,Count
"Kultur, media, design",informationsvetenskap,786
"Kultur, media, design",barn,709
"Kultur, media, design",kommunikation,703
"Kultur, media, design",biblioteksvetenskap,695
"Kultur, media, design",design,664
"Kultur, media, design",sociala medier,578
Säkerhetsarbete,svenska,2011
Säkerhetsarbete,körkort,1953
Säkerhetsarbete,engelska,1251
Säkerhetsarbete,arbetslivserfarenhet,566
Säkerhetsarbete,gymnasiekompetens,551
Säkerhetsarbete,gymnasieutbildning,499
Säkerhetsarbete,datorvana,494
Säkerhetsarbete,säkerhet,470
Säkerhetsarbete,privatekonomi,381
Säkerhetsarbete,språkkunskaper,378
"Hotell, restaurang, storhushåll",svenska,10252
"Hotell, restaurang, storhushåll",mat,7347
"Hotell, restaurang, storhushåll",restaurang,6246
"Hotell, restaurang, storhushåll",servering,4744
"Hotell, restaurang, storhushåll",engelska,4463
"Hotell, restaurang, storhushåll",kök,4386
"Hotell, restaurang, storhushåll",matlagning,3783
"Hotell, restaurang, storhushåll",körkort,2950
"Hotell, restaurang, storhushåll",à la carte,2868
"Hotell, restaurang, storhushåll",städning,2495
"Installation, drift, underhåll",körkort,10772
"Installation, drift, underhåll",svenska,7416
"Installation, drift, underhåll",reparation,4608
"Installation, drift, underhåll",engelska,4524
"Installation, drift, underhåll",el,4226
"Installation, drift, underhåll",felsökning,3192
"Installation, drift, underhåll",datorvana,2617
"Installation, drift, underhåll",gymnasieutbildning,2357
"Installation, drift, underhåll",teknik,2222
"Installation, drift, underhåll",installation,1999
Kropps- och skönhetsvård,svenska,725
Kropps- och skönhetsvård,gesällbrev,370
Kropps- och skönhetsvård,behandling,329
Kropps- och skönhetsvård,klippning,247
Kropps- och skönhetsvård,försäljning,239
Kropps- och skönhetsvård,färgning,221
Kropps- och skönhetsvård,engelska,218
Kropps- och skönhetsvård,massage,202
Kropps- och skönhetsvård,herrklippning,174
Kropps- och skönhetsvård,skönhet,169
Hantverksyrken,körkort,450
Hantverksyrken,svenska,437
Hantverksyrken,bageri,207
Hantverksyrken,engelska,160
Hantverksyrken,montering,140
Hantverksyrken,konditori,122
Hantverksyrken,tillverkning,116
Hantverksyrken,datorvana,114
Hantverksyrken,bröd,112
Hantverksyrken,bakning,110
Sanering och renhållning,körkort,6252
Sanering och renhållning,svenska,4906
Sanering och renhållning,städning,3374
Sanering och renhållning,lokalvård,2136
Sanering och renhållning,barn,2035
Sanering och renhållning,barnpassning,1506
Sanering och renhållning,engelska,1409
Sanering och renhållning,egen bil,1122
Sanering och renhållning,hemstädning,980
Sanering och renhållning,flyttstädning,700
Militärt arbete,körkort,216
Militärt arbete,registerkontroll,214
Militärt arbete,rekryteringsföretag,205
Militärt arbete,säkerhetsprövning,200
Militärt arbete,svenskt medborgarskap,185
Militärt arbete,försvarsmakten,179
Militärt arbete,engelska,134
Militärt arbete,gmu,124
Militärt arbete,svenska,119
Militärt arbete,förarbevis,115
