Occupation Field,Municipality,Skill,Count
"Försäljning, inköp, marknadsföring",Stockholm,svenska,15367
"Försäljning, inköp, marknadsföring",Stockholm,försäljning,14266
"Försäljning, inköp, marknadsföring",Stockholm,engelska,8829
"Försäljning, inköp, marknadsföring",Stockholm,körkort,3955
"Försäljning, inköp, marknadsföring",Stockholm,kundservice,3693
"Försäljning, inköp, marknadsföring",Stockholm,verktyg,3109
"Försäljning, inköp, marknadsföring",Stockholm,personlig utveckling,2682
"Försäljning, inköp, marknadsföring",Stockholm,säljutbildning,2577
"Försäljning, inköp, marknadsföring",Stockholm,microsoft office,2124
"Försäljning, inköp, marknadsföring",Stockholm,marknadsföring,2084
"Hotell, restaurang, storhushåll",Uppsala,svenska,155
"Hotell, restaurang, storhushåll",Uppsala,mat,151
"Hotell, restaurang, storhushåll",Uppsala,restaurang,83
"Hotell, restaurang, storhushåll",Uppsala,servering,83
"Hotell, restaurang, storhushåll",Uppsala,kök,72
"Hotell, restaurang, storhushåll",Uppsala,matlagning,60
"Hotell, restaurang, storhushåll",Uppsala,körkort,53
"Hotell, restaurang, storhushåll",Uppsala,engelska,49
"Hotell, restaurang, storhushåll",Uppsala,dryck,49
"Hotell, restaurang, storhushåll",Uppsala,städning,43
"Administration, ekonomi, juridik",Eskilstuna,svenska,237
"Administration, ekonomi, juridik",Eskilstuna,engelska,159
"Administration, ekonomi, juridik",Eskilstuna,arbetslivserfarenhet,145
"Administration, ekonomi, juridik",Eskilstuna,ekonomi,128
"Administration, ekonomi, juridik",Eskilstuna,microsoft office,90
"Administration, ekonomi, juridik",Eskilstuna,excel,80
"Administration, ekonomi, juridik",Eskilstuna,administration,70
"Administration, ekonomi, juridik",Eskilstuna,körkort,66
"Administration, ekonomi, juridik",Eskilstuna,rekryteringstjänster,66
"Administration, ekonomi, juridik",Eskilstuna,redovisning,60
Socialt arbete,Helsingborg,körkort,105
Socialt arbete,Helsingborg,omvårdnad,50
Socialt arbete,Helsingborg,dokumentation,47
Socialt arbete,Helsingborg,omsorg,47
Socialt arbete,Helsingborg,svenska,47
Socialt arbete,Helsingborg,funktionsnedsättning,46
Socialt arbete,Helsingborg,barn,37
Socialt arbete,Helsingborg,personlig hygien,37
Socialt arbete,Helsingborg,socionomexamen,34
Socialt arbete,Helsingborg,funktionshinderområdet,26
Chefer och verksamhetsledare,Borås,ledarskap,114
Chefer och verksamhetsledare,Borås,svenska,85
Chefer och verksamhetsledare,Borås,engelska,74
Chefer och verksamhetsledare,Borås,ekonomi,68
Chefer och verksamhetsledare,Borås,personalansvar,52
Chefer och verksamhetsledare,Borås,högskoleutbildning,49
Chefer och verksamhetsledare,Borås,körkort,39
Chefer och verksamhetsledare,Borås,arbetsmiljö,37
Chefer och verksamhetsledare,Borås,budget,36
Chefer och verksamhetsledare,Borås,försäljning,35
Pedagogiskt arbete,Stockholm,undervisning,2919
Pedagogiskt arbete,Stockholm,svenska,2763
Pedagogiskt arbete,Stockholm,barn,2031
Pedagogiskt arbete,Stockholm,engelska,1371
Pedagogiskt arbete,Stockholm,matematik,931
Pedagogiskt arbete,Stockholm,kompetensutveckling,756
Pedagogiskt arbete,Stockholm,verktyg,749
Pedagogiskt arbete,Stockholm,ungdomar,741
Pedagogiskt arbete,Stockholm,styrdokument,732
Pedagogiskt arbete,Stockholm,förskola,711
Transport,Håbo,ykb,5
Transport,Håbo,c-kort,4
Transport,Håbo,bilen,3
Transport,Håbo,körning,2
Transport,Håbo,maskintransporter,2
Transport,Håbo,kollektivavtal,2
Transport,Håbo,svenska,2
Transport,Håbo,kranbil,1
Transport,Håbo,krankort,1
Transport,Håbo,lager,1
"Installation, drift, underhåll",Jönköping,körkort,192
"Installation, drift, underhåll",Jönköping,svenska,182
"Installation, drift, underhåll",Jönköping,engelska,111
"Installation, drift, underhåll",Jönköping,el,103
"Installation, drift, underhåll",Jönköping,reparation,91
"Installation, drift, underhåll",Jönköping,teknik,76
"Installation, drift, underhåll",Jönköping,felsökning,73
"Installation, drift, underhåll",Jönköping,datorvana,49
"Installation, drift, underhåll",Jönköping,arbetslivserfarenhet,48
"Installation, drift, underhåll",Jönköping,hydraulik,47
Socialt arbete,Stockholm,svenska,2831
Socialt arbete,Stockholm,barn,2292
Socialt arbete,Stockholm,körkort,1445
Socialt arbete,Stockholm,assistans,1081
Socialt arbete,Stockholm,funktionsnedsättning,873
Socialt arbete,Stockholm,kommunikation,845
Socialt arbete,Stockholm,förskola,798
Socialt arbete,Stockholm,musik,772
Socialt arbete,Stockholm,sjukvård,716
Socialt arbete,Stockholm,miljö,698
"Installation, drift, underhåll",Helsingborg,körkort,159
"Installation, drift, underhåll",Helsingborg,svenska,147
"Installation, drift, underhåll",Helsingborg,reparation,118
"Installation, drift, underhåll",Helsingborg,engelska,86
"Installation, drift, underhåll",Helsingborg,el,77
"Installation, drift, underhåll",Helsingborg,felsökning,76
"Installation, drift, underhåll",Helsingborg,arbetslivserfarenhet,61
"Installation, drift, underhåll",Helsingborg,teknik,51
"Installation, drift, underhåll",Helsingborg,gymnasieutbildning,44
"Installation, drift, underhåll",Helsingborg,datorvana,41
"Hotell, restaurang, storhushåll",Härjedalen,mat,50
"Hotell, restaurang, storhushåll",Härjedalen,skidåkning,37
"Hotell, restaurang, storhushåll",Härjedalen,friluftsliv,33
"Hotell, restaurang, storhushåll",Härjedalen,frukost,20
"Hotell, restaurang, storhushåll",Härjedalen,restaurang,20
"Hotell, restaurang, storhushåll",Härjedalen,körkort,20
"Hotell, restaurang, storhushåll",Härjedalen,hotell,18
"Hotell, restaurang, storhushåll",Härjedalen,turism,18
"Hotell, restaurang, storhushåll",Härjedalen,kök,17
"Hotell, restaurang, storhushåll",Härjedalen,tillagning,17
Data/IT,Malmö,svenska,1208
Data/IT,Malmö,engelska,1168
Data/IT,Malmö,design,584
Data/IT,Malmö,teknik,444
Data/IT,Malmö,data,416
Data/IT,Malmö,javascript,402
Data/IT,Malmö,programmering,320
Data/IT,Malmö,nätverk,318
Data/IT,Malmö,java,315
Data/IT,Malmö,c#,293
"Hotell, restaurang, storhushåll",Stockholm,svenska,3965
"Hotell, restaurang, storhushåll",Stockholm,engelska,3185
