Occupation Field,Municipality,Skill,Count
Hälso- och sjukvård,Uppsala,sjukvård,1291
Hälso- och sjukvård,Uppsala,svenska,981
Hälso- och sjukvård,Uppsala,körkort,323
Hälso- och sjukvård,Uppsala,barn,248
Hälso- och sjukvård,Uppsala,cosmic,240
Hälso- och sjukvård,Uppsala,handledning,238
Hälso- och sjukvård,Uppsala,behandling,231
Hälso- och sjukvård,Uppsala,journalsystem,228
Hälso- och sjukvård,Uppsala,nätverk,210
Hälso- och sjukvård,Uppsala,datorvana,187
Bygg och anläggning,Stockholm,svenska,1443
Bygg och anläggning,Stockholm,körkort,882
Bygg och anläggning,Stockholm,engelska,601
Bygg och anläggning,Stockholm,arbetslivserfarenhet,334
Bygg och anläggning,Stockholm,byggbranschen,329
Bygg och anläggning,Stockholm,anläggning,319
Bygg och anläggning,Stockholm,yrkesbevis,307
Bygg och anläggning,Stockholm,projektledning,236
Bygg och anläggning,Stockholm,teknik,206
Bygg och anläggning,Stockholm,besiktning,183
Industriell tillverkning,Stockholm,svenska,387
Industriell tillverkning,Stockholm,körkort,294
Industriell tillverkning,Stockholm,däck,182
Industriell tillverkning,Stockholm,bilen,181
Industriell tillverkning,Stockholm,engelska,170
Industriell tillverkning,Stockholm,truckkort,162
Industriell tillverkning,Stockholm,montering,129
Industriell tillverkning,Stockholm,lager,127
Industriell tillverkning,Stockholm,teknik,117
Industriell tillverkning,Stockholm,lagarbete,99
"Försäljning, inköp, marknadsföring",Nacka,svenska,232
"Försäljning, inköp, marknadsföring",Nacka,försäljning,172
"Försäljning, inköp, marknadsföring",Nacka,personlig utveckling,107
"Försäljning, inköp, marknadsföring",Nacka,körkort,60
"Försäljning, inköp, marknadsföring",Nacka,engelska,51
"Försäljning, inköp, marknadsföring",Nacka,resor,36
"Försäljning, inköp, marknadsföring",Nacka,kundservice,33
"Försäljning, inköp, marknadsföring",Nacka,butik,29
"Försäljning, inköp, marknadsföring",Nacka,energi,29
"Försäljning, inköp, marknadsföring",Nacka,budget,24
Naturbruk,Lindesberg,trädgårdsutbildning,2
Naturbruk,Lindesberg,växter,2
Naturbruk,Lindesberg,försäljning,2
Naturbruk,Lindesberg,skötsel,2
Naturbruk,Lindesberg,beskärningsarbeten,2
Naturbruk,Lindesberg,trädgårdsskötsel,2
Naturbruk,Lindesberg,påfyllning,2
Naturbruk,Lindesberg,trädgård,2
Naturbruk,Lindesberg,markplattor,1
Naturbruk,Lindesberg,gräsklippning,1
Hälso- och sjukvård,Eskilstuna,svenska,356
Hälso- och sjukvård,Eskilstuna,sjukvård,151
Hälso- och sjukvård,Eskilstuna,körkort,141
Hälso- och sjukvård,Eskilstuna,journalsystem,90
Hälso- och sjukvård,Eskilstuna,barn,88
Hälso- och sjukvård,Eskilstuna,hälsovård,73
Hälso- och sjukvård,Eskilstuna,vidareutbildning,67
Hälso- och sjukvård,Eskilstuna,resor,66
Hälso- och sjukvård,Eskilstuna,försäkring,58
Hälso- och sjukvård,Eskilstuna,rekryteringstjänster,54
Hälso- och sjukvård,Mölndal,svenska,95
Hälso- och sjukvård,Mölndal,sjukvård,84
Hälso- och sjukvård,Mölndal,psykiatri,57
Hälso- och sjukvård,Mölndal,behandling,57
Hälso- och sjukvård,Mölndal,träning,56
Hälso- och sjukvård,Mölndal,omvårdnadshandledning,52
Hälso- och sjukvård,Mölndal,introduktionsprogram,51
