Occupation Field,Municipality,Skill,Count
"Installation, drift, underhåll",Stockholm,svenska,1880
"Installation, drift, underhåll",Stockholm,körkort,1607
"Installation, drift, underhåll",Stockholm,engelska,1058
"Installation, drift, underhåll",Stockholm,reparation,744
"Installation, drift, underhåll",Stockholm,el,691
"Installation, drift, underhåll",Stockholm,felsökning,635
"Installation, drift, underhåll",Stockholm,teknik,486
"Installation, drift, underhåll",Stockholm,installation,387
"Installation, drift, underhåll",Stockholm,arbetslivserfarenhet,341
"Installation, drift, underhåll",Stockholm,gymnasieutbildning,307
Data/IT,Stockholm,svenska,5433
Data/IT,Stockholm,engelska,4807
Data/IT,Stockholm,design,3180
Data/IT,Stockholm,data,2479
Data/IT,Stockholm,can,2141
Data/IT,Stockholm,teknik,1734
Data/IT,Stockholm,arbetslivserfarenhet,1709
Data/IT,Stockholm,java,1543
Data/IT,Stockholm,microsoft azure,1449
Data/IT,Stockholm,javascript,1319
Data/IT,Uppsala,svenska,468
Data/IT,Uppsala,engelska,447
Data/IT,Uppsala,arbetslivserfarenhet,139
Data/IT,Uppsala,teknik,125
Data/IT,Uppsala,data,123
Data/IT,Uppsala,c#,115
Data/IT,Uppsala,programmering,110
Data/IT,Uppsala,design,102
Data/IT,Uppsala,.net,98
Data/IT,Uppsala,dokumentation,97
"Kultur, media, design",Stockholm,svenska,552
"Kultur, media, design",Stockholm,design,488
"Kultur, media, design",Stockholm,engelska,443
"Kultur, media, design",Stockholm,can,300
"Kultur, media, design",Stockholm,material,175
"Kultur, media, design",Stockholm,microsoft office,169
"Kultur, media, design",Stockholm,vision,164
"Kultur, media, design",Stockholm,research,143
"Kultur, media, design",Stockholm,adobe photoshop,141
"Kultur, media, design",Stockholm,kommunikation,139
"Administration, ekonomi, juridik",Stockholm,svenska,11245
"Administration, ekonomi, juridik",Stockholm,engelska,9171
"Administration, ekonomi, juridik",Stockholm,ekonomi,4455
"Administration, ekonomi, juridik",Stockholm,microsoft office,3605
"Administration, ekonomi, juridik",Stockholm,excel,3364
"Administration, ekonomi, juridik",Stockholm,administration,3051
"Administration, ekonomi, juridik",Stockholm,arbetslivserfarenhet,2853
"Administration, ekonomi, juridik",Stockholm,redovisning,2357
"Administration, ekonomi, juridik",Stockholm,rekrytering,2269
"Administration, ekonomi, juridik",Stockholm,administrativa uppgifter,2099
"Transport, distribution, lager",Stockholm,svenska,1266
"Transport, distribution, lager",Stockholm,körkort,762
"Transport, distribution, lager",Stockholm,lager,675
"Transport, distribution, lager",Stockholm,truckkort,483
"Transport, distribution, lager",Stockholm,engelska,444
"Transport, distribution, lager",Stockholm,logistik,369
"Transport, distribution, lager",Stockholm,lastning,333
"Transport, distribution, lager",Stockholm,utleveranser,293
"Transport, distribution, lager",Stockholm,inleveranser,281
"Transport, distribution, lager",Stockholm,god fysik,258
"Administration, ekonomi, juridik",Göteborg,svenska,3733
"Administration, ekonomi, juridik",Göteborg,engelska,3111
"Administration, ekonomi, juridik",Göteborg,ekonomi,1660
"Administration, ekonomi, juridik",Göteborg,administration,1230
"Administration, ekonomi, juridik",Göteborg,excel,1173
"Administration, ekonomi, juridik",Göteborg,microsoft office,1114
"Administration, ekonomi, juridik",Göteborg,arbetslivserfarenhet,934
"Administration, ekonomi, juridik",Göteborg,redovisning,786
"Administration, ekonomi, juridik",Göteborg,administrativa uppgifter,778
"Administration, ekonomi, juridik",Göteborg,eftergymnasial utbildning,764
"Kultur, media, design",Göteborg,design,188
"Kultur, media, design",Göteborg,svenska,146
"Kultur, media, design",Göteborg,engelska,126
"Kultur, media, design",Göteborg,can,92
"Kultur, media, design",Göteborg,körkort,60
"Kultur, media, design",Göteborg,data,55
"Kultur, media, design",Göteborg,material,53
"Kultur, media, design",Göteborg,adobe photoshop,52
"Kultur, media, design",Göteborg,microsoft office,52
"Kultur, media, design",Göteborg,not,48
Data/IT,Göteborg,svenska,2124
Data/IT,Göteborg,engelska,1990
Data/IT,Göteborg,design,1278
Data/IT,Göteborg,can,1066
Data/IT,Göteborg,data,956
Data/IT,Göteborg,java,940
Data/IT,Göteborg,teknik,896
Data/IT,Göteborg,c++,761
Data/IT,Göteborg,agile,739
Data/IT,Göteborg,python,716
"Försäljning, inköp, marknadsföring",Gävle,svenska,679
"Försäljning, inköp, marknadsföring",Gävle,försäljning,584
"Försäljning, inköp, marknadsföring",Gävle,engelska,260
"Försäljning, inköp, marknadsföring",Gävle,körkort,258
"Försäljning, inköp, marknadsföring",Gävle,verktyg,193
"Försäljning, inköp, marknadsföring",Gävle,kundbemötande,120
"Försäljning, inköp, marknadsföring",Gävle,offerter,112
"Försäljning, inköp, marknadsföring",Gävle,arbetsredskap,104
"Försäljning, inköp, marknadsföring",Gävle,egen bil,88
"Försäljning, inköp, marknadsföring",Gävle,kundservice,83
Data/IT,Varberg,svenska,46
Data/IT,Varberg,engelska,40
Data/IT,Varberg,körkort,32
Data/IT,Varberg,teknik,24
Data/IT,Varberg,nätverk,21
Data/IT,Varberg,microsoft windows,16
Data/IT,Varberg,egen bil,15
Data/IT,Varberg,felsökning,15
Data/IT,Varberg,administration,14
Data/IT,Varberg,gymnasieutbildning,14
Data/IT,Uddevalla,svenska,18
Data/IT,Uddevalla,engelska,17
Data/IT,Uddevalla,programmering,9
Data/IT,Uddevalla,högskoleutbildning,6
Data/IT,Uddevalla,c#,5
Data/IT,Uddevalla,felsökning,5
Data/IT,Uddevalla,säkerhet,4
Data/IT,Uddevalla,installation,4
Data/IT,Uddevalla,nätverk,4
Data/IT,Uddevalla,verktyg,4
Data/IT,Sundsvall,svenska,233
Data/IT,Sundsvall,engelska,183
Data/IT,Sundsvall,teknik,97
Data/IT,Sundsvall,arbetslivserfarenhet,84
Data/IT,Sundsvall,systemutveckling,78
