Occupation Field,Municipality,Skill,Count
Hälso- och sjukvård,Stockholm,svenska,6327
Hälso- och sjukvård,Stockholm,sjukvård,2673
Hälso- och sjukvård,Stockholm,miljö,1995
Hälso- och sjukvård,Stockholm,körkort,1622
Hälso- och sjukvård,Stockholm,sjuksköterskeexamen,1600
Hälso- och sjukvård,Stockholm,kompetensutveckling,1246
Hälso- och sjukvård,Stockholm,försäkring,1170
Hälso- och sjukvård,Stockholm,vägledning,1166
Hälso- och sjukvård,Stockholm,äldreboende,1076
Hälso- och sjukvård,Stockholm,dokumentation,1057
Data/IT,Göteborg,engelska,2400
Data/IT,Göteborg,svenska,2361
Data/IT,Göteborg,design,1046
Data/IT,Göteborg,java,1027
Data/IT,Göteborg,teknik,959
Data/IT,Göteborg,data,933
Data/IT,Göteborg,programmering,874
Data/IT,Göteborg,c++,830
Data/IT,Göteborg,python,744
Data/IT,Göteborg,javascript,742
"Administration, ekonomi, juridik",Göteborg,svenska,3655
"Administration, ekonomi, juridik",Göteborg,engelska,3103
"Administration, ekonomi, juridik",Göteborg,ekonomi,1689
"Administration, ekonomi, juridik",Göteborg,administration,1560
"Administration, ekonomi, juridik",Göteborg,excel,1228
"Administration, ekonomi, juridik",Göteborg,microsoft office,1189
"Administration, ekonomi, juridik",Göteborg,administrativa uppgifter,914
"Administration, ekonomi, juridik",Göteborg,redovisning,888
"Administration, ekonomi, juridik",Göteborg,eftergymnasial utbildning,828
"Administration, ekonomi, juridik",Göteborg,arbetslivserfarenhet,804
Pedagogiskt arbete,Västerås,undervisning,332
Pedagogiskt arbete,Västerås,ikt,171
Pedagogiskt arbete,Västerås,hjälpmedel,149
Pedagogiskt arbete,Västerås,svenska,146
Pedagogiskt arbete,Västerås,handledning,136
Pedagogiskt arbete,Västerås,barn,134
Pedagogiskt arbete,Västerås,gymnasiet,97
Pedagogiskt arbete,Västerås,grundskolan,90
Pedagogiskt arbete,Västerås,engelska,88
Pedagogiskt arbete,Västerås,verktyg,85
Socialt arbete,Huddinge,barn,108
Socialt arbete,Huddinge,svenska,108
Socialt arbete,Huddinge,kommunikation,74
Socialt arbete,Huddinge,it-kunskaper,54
Socialt arbete,Huddinge,styrdokument,52
Socialt arbete,Huddinge,omsorg,47
Socialt arbete,Huddinge,pedagogisk dokumentation,45
Socialt arbete,Huddinge,datorvana,39
Socialt arbete,Huddinge,kommunal verksamhet,38
Socialt arbete,Huddinge,ungdomar,33
Hälso- och sjukvård,Vårgårda,svenska,14
Hälso- och sjukvård,Vårgårda,körkort,13
Hälso- och sjukvård,Vårgårda,hemsjukvård,8
Hälso- och sjukvård,Vårgårda,sjukvård,8
Hälso- och sjukvård,Vårgårda,äldreomsorg,8
Hälso- och sjukvård,Vårgårda,hemtjänst,6
Hälso- och sjukvård,Vårgårda,hälsoarbete,6
Hälso- och sjukvård,Vårgårda,delegering,5
Hälso- och sjukvård,Vårgårda,teamarbete,5
Hälso- och sjukvård,Vårgårda,tvätt,4
"Försäljning, inköp, marknadsföring",Västerås,försäljning,308
"Försäljning, inköp, marknadsföring",Västerås,svenska,267
"Försäljning, inköp, marknadsföring",Västerås,engelska,167
"Försäljning, inköp, marknadsföring",Västerås,körkort,150
"Försäljning, inköp, marknadsföring",Västerås,sales,78
"Försäljning, inköp, marknadsföring",Västerås,kundservice,77
"Försäljning, inköp, marknadsföring",Västerås,kundrelationer,73
"Försäljning, inköp, marknadsföring",Västerås,marknadsföring,71
"Försäljning, inköp, marknadsföring",Västerås,bilen,70
"Försäljning, inköp, marknadsföring",Västerås,gymnasieutbildning,56
"Försäljning, inköp, marknadsföring",Örebro,svenska,588
"Försäljning, inköp, marknadsföring",Örebro,engelska,454
"Försäljning, inköp, marknadsföring",Örebro,försäljning,367
"Försäljning, inköp, marknadsföring",Örebro,kundservice,203
"Försäljning, inköp, marknadsföring",Örebro,körkort,171
"Försäljning, inköp, marknadsföring",Örebro,microsoft office,151
"Försäljning, inköp, marknadsföring",Örebro,datorvana,138
"Försäljning, inköp, marknadsföring",Örebro,gymnasieutbildning,125
"Försäljning, inköp, marknadsföring",Örebro,miljö,117
"Försäljning, inköp, marknadsföring",Örebro,arbetslivserfarenhet,116
Hälso- och sjukvård,Karlskrona,sjukvård,361
Hälso- och sjukvård,Karlskrona,omsorg,233
Hälso- och sjukvård,Karlskrona,teknik,211
Hälso- och sjukvård,Karlskrona,körkort,143
Hälso- och sjukvård,Karlskrona,svenska,114
Hälso- och sjukvård,Karlskrona,psykiatri,93
Hälso- och sjukvård,Karlskrona,kirurgi,87
Hälso- och sjukvård,Karlskrona,primärvård,84
Hälso- och sjukvård,Karlskrona,specialistutbildning,82
Hälso- och sjukvård,Karlskrona,behandling,72
Socialt arbete,Jönköping,körkort,374
Socialt arbete,Jönköping,insatser,216
Socialt arbete,Jönköping,omvårdnad,215
Socialt arbete,Jönköping,svenska,195
Socialt arbete,Jönköping,barn,157
Socialt arbete,Jönköping,träning,130
Socialt arbete,Jönköping,sjukvård,120
Socialt arbete,Jönköping,musik,112
Socialt arbete,Jönköping,omsorg,108
Socialt arbete,Jönköping,hjälpmedel,101
"Administration, ekonomi, juridik",Stockholm,svenska,13365
"Administration, ekonomi, juridik",Stockholm,engelska,11193
"Administration, ekonomi, juridik",Stockholm,administration,5972
"Administration, ekonomi, juridik",Stockholm,microsoft office,5811
"Administration, ekonomi, juridik",Stockholm,ekonomi,5644
"Administration, ekonomi, juridik",Stockholm,excel,4734
"Administration, ekonomi, juridik",Stockholm,arbetslivserfarenhet,3335
"Administration, ekonomi, juridik",Stockholm,redovisning,3112
"Administration, ekonomi, juridik",Stockholm,administrativa uppgifter,3082
"Administration, ekonomi, juridik",Stockholm,rekrytering,3052
Pedagogiskt arbete,Solna,barn,136
Pedagogiskt arbete,Solna,undervisning,130
Pedagogiskt arbete,Solna,svenska,84
Pedagogiskt arbete,Solna,hälsa,75
Pedagogiskt arbete,Solna,ikt,73
Pedagogiskt arbete,Solna,samverkan,72
Pedagogiskt arbete,Solna,lärarexamen,70
Pedagogiskt arbete,Solna,dokumentation,65
Pedagogiskt arbete,Solna,förskola,65
Pedagogiskt arbete,Solna,lärarlegitimation,64
Tekniskt arbete,Västerås,engelska,305
Tekniskt arbete,Västerås,svenska,274
Tekniskt arbete,Västerås,konstruktion,145
Tekniskt arbete,Västerås,teknik,131
Tekniskt arbete,Västerås,arbetslivserfarenhet,130
Tekniskt arbete,Västerås,körkort,115
Tekniskt arbete,Västerås,automation,106
Tekniskt arbete,Västerås,maskin,92
Tekniskt arbete,Västerås,leverantörer,85
Tekniskt arbete,Västerås,produktutveckling,83
"Administration, ekonomi, juridik",Västerås,svenska,315
"Administration, ekonomi, juridik",Västerås,engelska,198
"Administration, ekonomi, juridik",Västerås,ekonomi,136
"Administration, ekonomi, juridik",Västerås,administration,105
"Administration, ekonomi, juridik",Västerås,rekryteringstjänster,103
"Administration, ekonomi, juridik",Västerås,körkort,100
"Administration, ekonomi, juridik",Västerås,administrativa uppgifter,94
"Administration, ekonomi, juridik",Västerås,redovisning,90
"Administration, ekonomi, juridik",Västerås,microsoft office,85
"Administration, ekonomi, juridik",Västerås,högskoleutbildning,76
"Installation, drift, underhåll",Stockholm,körkort,3185
"Installation, drift, underhåll",Stockholm,svenska,3041
"Installation, drift, underhåll",Stockholm,reparation,1899
"Installation, drift, underhåll",Stockholm,engelska,1655
"Installation, drift, underhåll",Stockholm,el,1313
"Installation, drift, underhåll",Stockholm,felsökning,1092
"Installation, drift, underhåll",Stockholm,teknik,875
"Installation, drift, underhåll",Stockholm,datorvana,771
"Installation, drift, underhåll",Stockholm,mekanik,764
"Installation, drift, underhåll",Stockholm,gymnasieutbildning,757
Socialt arbete,Stockholm,svenska,2981
Socialt arbete,Stockholm,barn,2802
Socialt arbete,Stockholm,körkort,1997
Socialt arbete,Stockholm,funktionsnedsättning,969
Socialt arbete,Stockholm,assistans,960
Socialt arbete,Stockholm,förskola,931
Socialt arbete,Stockholm,miljö,906
Socialt arbete,Stockholm,socionomexamen,884
Socialt arbete,Stockholm,insatser,880
Socialt arbete,Stockholm,sjukvård,871
Hälso- och sjukvård,Kristianstad,svenska,4058
Hälso- och sjukvård,Kristianstad,språkkunskaper,3576
Hälso- och sjukvård,Kristianstad,svenska som andraspråk,3498
Hälso- och sjukvård,Kristianstad,sjukvård,3485
Hälso- och sjukvård,Kristianstad,primärvård,741
Hälso- och sjukvård,Kristianstad,specialistutbildning,652
Hälso- och sjukvård,Kristianstad,behandling,645
Hälso- och sjukvård,Kristianstad,vidareutbildning,608
Hälso- och sjukvård,Kristianstad,http,580
Hälso- och sjukvård,Kristianstad,barn,534
Socialt arbete,Göteborg,körkort,1455
Socialt arbete,Göteborg,barn,925
Socialt arbete,Göteborg,svenska,802
Socialt arbete,Göteborg,sjukvård,510
Socialt arbete,Göteborg,kommunikation,451
Socialt arbete,Göteborg,dokumentation,437
Socialt arbete,Göteborg,insatser,421
Socialt arbete,Göteborg,matlagning,420
Socialt arbete,Göteborg,omsorg,418
Socialt arbete,Göteborg,omvårdnad,413
"Försäljning, inköp, marknadsföring",Halmstad,svenska,320
"Försäljning, inköp, marknadsföring",Halmstad,försäljning,236
"Försäljning, inköp, marknadsföring",Halmstad,engelska,115
"Försäljning, inköp, marknadsföring",Halmstad,körkort,94
"Försäljning, inköp, marknadsföring",Halmstad,egen bil,63
"Försäljning, inköp, marknadsföring",Halmstad,skatter och avgifter,58
"Försäljning, inköp, marknadsföring",Halmstad,säljerfarenhet,52
"Försäljning, inköp, marknadsföring",Halmstad,energi,49
"Försäljning, inköp, marknadsföring",Halmstad,butik,46
"Försäljning, inköp, marknadsföring",Halmstad,kundrelationer,44
Naturbruk,Västerås,skötsel,14
Naturbruk,Västerås,körkort,14
Naturbruk,Västerås,svenska,13
Naturbruk,Västerås,djur,9
Naturbruk,Västerås,ogräsrensning,8
Naturbruk,Västerås,utrustning,7
Naturbruk,Västerås,trädgårdsarbete,7
Naturbruk,Västerås,engelska,7
Naturbruk,Västerås,planter,6
Naturbruk,Västerås,gis,5
"Försäljning, inköp, marknadsföring",Stockholm,svenska,15944
"Försäljning, inköp, marknadsföring",Stockholm,försäljning,15839
"Försäljning, inköp, marknadsföring",Stockholm,engelska,8124
